score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,signal_date,name,is_used,excluded_reason
8,True,51.05973025048169,True,False,True,False,0.3146656866395572,2226.0,2226.0,517142615.0,517.142615,2507.0,0.8879138412445153,-0.2472555755227719,0.0769604518786628,56.24718111909653,2.5268275435353336,-0.0925397472482674,-0.1120861587554846,17.87119956132586,26.72751990504862,26.651437936150863,,1,trailing_stop,False,False,False,False,True,False,False,False,False,6810.T,,2226.0,23.89694,0.9650539,93.15,2306.607,95997566976.0,1769754600.0,1777012200.0,1777012200.0,True,,,True,1777012200.0,2026-04-24,45.0,2026-02-20,,True,
8,True,51.05973025048169,True,False,True,False,0.3146657097831908,2226.0,2226.0,517142615.0,517.142615,2507.0,0.8879138412445153,-0.2472555755227719,0.0769604518786628,56.24718111909653,2.5268275435353336,-0.0925397472482674,-0.1120861587554846,17.87119956132586,26.72751990504862,26.651437936150863,,1,trailing_stop,False,False,False,False,True,False,False,False,False,6810.T,,2226.0,23.92262,0.9650539,93.05,2306.607,95997566976.0,1769754600.0,1777012200.0,1777012200.0,True,,,True,1777012200.0,2026-04-24,44.0,2026-02-23,,True,
8,True,46.63341645885287,False,False,True,False,0.3678906928224442,4860.0,4860.0,333718575.0,333.718575,5350.0,0.908411214953271,-0.5433266114762707,0.0825879125436754,199.07906205103976,4.096276996934975,-0.0915887850467289,-0.0915887850467289,24.40338027581319,27.964185863618805,24.906514786601583,,2,trailing_stop;natr_spike,False,False,False,False,True,False,False,False,True,6125.T,,4860.0,14.191853,0.7791333,342.45,6237.7,32127152128.0,,1754460000.0,1754978400.0,True,,,True,1754460000.0,2025-08-06,-145.0,2026-02-25,,True,
8,True,53.690036900369,False,False,True,False,0.367243436684507,1675.0,1675.0,468786085.0,468.786085,1952.0,0.858094262295082,-0.3524699120835735,0.0746485692086258,59.46775894557372,3.5503139668999237,-0.0536723163841807,-0.141905737704918,19.04554900791821,24.299293234689173,19.497409341680573,,1,macd_sell_like,False,False,True,False,False,False,False,False,False,2395.T,,1675.0,14.982111,1.3192436,111.8,1269.667,69733326848.0,,1754274600.0,1754620200.0,True,,,True,1754274600.0,2025-08-04,-148.0,2026-02-26,,True,
8,True,51.82186234817813,True,False,True,False,0.4917165559482076,859.0,859.0,255768455.0,255.768455,966.0,0.8892339544513458,-0.5455216001123879,0.1020680502113418,25.79722557730921,3.003169450210618,-0.0455555555555555,-0.0539647577092511,13.66659579556794,31.59822810968761,23.533890523291404,,0,,False,False,False,False,False,False,False,False,False,6584.T,,859.0,12.002235,0.6742268,71.57,1274.052,30759567360.0,,1754287200.0,1754632800.0,True,,,True,1754287200.0,2025-08-04,-148.0,2026-02-26,,True,
8,True,54.85996705107084,True,False,True,False,0.446865323413507,2119.0,2119.0,3943303355.0,3943.303355,2466.3056640625,0.8591797970854845,-0.3683170169054496,0.0998918662627381,49.87099285712763,2.353515472257085,-0.0198889916743756,-0.0198889916743756,24.627650129853727,33.245261651215245,17.564997338828285,,0,,False,False,False,False,False,False,False,False,False,6724.T,,2119.0,13.532154,0.79324406,156.59,2671.309,678986645504.0,1770100200.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,45.0,2026-02-26,,True,
8,True,50.47619047619048,True,False,True,False,0.2901641636887234,416.0,416.0,319643460.0,319.64346,511.0,0.8140900195694716,-0.2674233817749512,0.0234381476793363,12.71734992469596,3.057055270359606,-0.052391799544419,-0.1859099804305284,28.02045687432352,21.890877929408923,26.183696670632507,,1,di_bear,False,False,False,False,False,False,True,False,False,4293.T,,416.0,24.747175,1.2966206,16.81,320.834,86288842752.0,,1754287200.0,1754632800.0,True,,,True,1754287200.0,2025-08-04,-149.0,2026-02-27,,True,
8,True,51.73116089613034,True,False,True,False,0.4264054955988423,1650.0,1650.0,264668125.0,264.668125,1890.0,0.873015873015873,-0.4121241927799588,0.0957799763501126,52.88525973117288,3.20516725643472,-0.0988530857454942,-0.1269841269841269,37.70587128495856,26.083227919327364,27.67153829283128,,2,trailing_stop;di_bear,False,False,False,False,True,False,True,False,False,5036.T,,1650.0,13.980681,2.7469141,118.02,600.674,75036286976.0,,1747117800.0,1747117800.0,True,,,True,1747117800.0,2025-05-13,-208.0,2026-02-27,,True,
8,True,54.14847161572053,True,False,True,False,0.5104505744108486,401.0,401.0,1614498950.0,1614.49895,461.0,0.8698481561822126,-0.2982062814275789,0.0396178849049211,22.81348537268035,5.689148471990112,-0.1147902869757174,-0.1301518438177874,24.318305756854148,24.58831561392937,28.739385490806235,,3,trailing_stop;di_bear;natr_spike,False,False,False,False,True,False,True,False,True,2492.T,,401.0,47.17647,7.4731174,8.5,53.659,90779049984.0,1770964200.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,43.0,2026-03-02,,True,
8,True,53.0,True,False,True,False,0.2940523767177133,414.0,414.0,315429390.0,315.42939,511.0,0.8101761252446184,-0.2674233817749512,0.0176556872524316,12.45182493007482,3.007687181177493,-0.0569476082004556,-0.1898238747553816,26.6568170384983,20.76070565993342,24.831896711538494,,1,di_bear,False,False,False,False,False,False,True,False,False,4293.T,,414.0,24.628199,1.2903869,16.81,320.834,85873991680.0,,1754287200.0,1754632800.0,True,,,True,1754287200.0,2025-08-04,-150.0,2026-03-02,,True,
8,True,54.273504273504265,True,False,True,False,0.4264634978964371,1610.0,1610.0,258337275.0,258.337275,1890.0,0.8518518518518519,-0.4121241395835543,0.0670818778322439,54.39345546466053,3.378475494699412,-0.1206990715456034,-0.1481481481481481,35.76009960049134,23.54857574007202,29.053409062473733,,2,trailing_stop;di_bear,False,False,False,False,True,False,True,False,False,5036.T,,1610.0,13.64638,2.6803224,117.98,600.674,73217220608.0,,1747117800.0,1747117800.0,True,,,True,1747117800.0,2025-05-13,-209.0,2026-03-02,,True,
8,True,44.89361702127659,True,False,True,False,0.3559913296238254,4790.0,4790.0,354961400.0,354.9614,5350.0,0.8953271028037383,-0.5433266114762707,0.062296975261042,207.5807942150636,4.333628271713227,-0.1046728971962617,-0.1046728971962617,19.89397625427473,23.070302156609475,22.554408184315463,,3,cross_sma25_down;trailing_stop;natr_spike,False,True,False,False,True,False,False,False,True,6125.T,,4790.0,13.991938,0.7679112,342.34,6237.7,31664414720.0,,1754460000.0,1754978400.0,True,,,True,1754460000.0,2025-08-06,-148.0,2026-03-02,,True,
8,True,53.58359538544264,True,False,True,True,0.452492707112994,3566.0,3566.0,2911274575.0427246,2911.274575042725,4012.605224609375,0.8886994359997495,-0.1859124240499193,0.0141125096745851,99.58147638186438,2.7925259781790346,-0.0424371021322952,-0.0893669231958582,13.393974227138306,20.856008895223894,25.06593166203785,,0,,False,False,False,False,False,False,False,False,False,7649.T,,3566.0,15.642409,2.3003988,227.97,1550.166,645349507072.0,1767853800.0,1775716200.0,1775716200.0,True,,,True,1775716200.0,2026-04-09,28.0,2026-03-02,,True,
8,True,50.69767441860465,True,False,True,False,0.5101195923808801,400.0,400.0,1628194350.0,1628.19435,461.0,0.8676789587852495,-0.2982062814275789,0.0366650334966278,22.326807846060326,5.581701961515082,-0.1169977924944812,-0.1323210412147505,22.679451155755675,26.528926183837232,27.268283476763127,,3,trailing_stop;di_bear;natr_spike,False,False,False,False,True,False,True,False,True,2492.T,,400.0,47.058823,7.454481,8.5,53.659,90552664064.0,1770964200.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,42.0,2026-03-03,,True,
8,True,44.17475728155341,True,False,True,False,0.5112987835278449,391.0,391.0,1634478680.0,1634.47868,461.0,0.8481561822125814,-0.2982062814275789,0.0132228817842714,22.16060728562745,5.667674497602928,-0.1368653421633554,-0.1518438177874186,21.77508715203588,24.818753466617075,30.345282476966123,,3,trailing_stop;di_bear;natr_spike,False,False,False,False,True,False,True,False,True,2492.T,,391.0,46.108494,7.286755,8.48,53.659,88515231744.0,1770964200.0,1777530600.0,1777530600.0,True,,,True,1777530600.0,2026-04-30,41.0,2026-03-04,,True,
