score,gc_multi,rsi,macd_buy_like,vol_surge,vol_quiet,vol_down,hurst,close,close_adj,adv20,adv20_m,hh252,pct_of_52w_high,max_dd_252,dev200,atr14,natr14,pullback_20d,pullback_60d,adx14,plus_di14,minus_di14,skip_reason,sell_score,sell_reason,sell_trend_break,sell_cross_sma25_down,sell_macd_sell_like,sell_rsi_reversal,sell_trailing_stop,sell_ext_dev200,sell_di_bear,sell_vol_distribution,sell_natr_spike,ticker,price_date,bar_is_current,skip_reason_yahoo,mkt_price,pe_ttm,pbr,eps_ttm,bps,market_cap,earn_ts,earn_start_ts,earn_end_ts,market_risk_on,market_close,market_ma200,fund_ok,earn_ts_pick,next_earn_date,days_to_earnings,earn_date_raw_stale,earn_date_source,earn_date_lookup_error
5,True,55.05617977528089,False,False,True,True,0.5035727235891739,1035.0,1035.0,15205480.0,15.20548,1093.9234619140625,0.9461356630828972,-0.2174955288898936,0.0587170935507654,14.892213324154849,1.438861190739599,-0.0217391304347825,-0.0217391304347825,34.976845469699015,23.400303091538092,15.790349862594336,"fund_low_adv20,fund_small_mcap",1,macd_sell_like,False,False,True,False,False,False,False,False,False,1430.T,2026-09-04,True,,1035.0,6.570177,1.1135223,157.53,929.483,12410335232.0,,,,True,,,False,,,,True,unknown_stale_rejected,
3,False,60.0,False,False,True,True,0.405748315801734,653.0,653.0,10087470.0,10.08747,783.6665649414062,0.8332625496773924,-0.1949911496415812,-0.0017399672616957,6.108753617523099,0.9354905999269678,-0.0030534351145038,-0.0060882800608828,37.154186286482485,20.560346831270333,12.226955063115325,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1431.T,2026-09-04,True,,653.0,147.07207,3.2469954,4.44,201.109,15193034752.0,,,,True,,,False,,,,True,unknown_stale_rejected,
5,True,73.02325581395348,False,False,True,True,0.4677721539058305,1289.0,1289.0,63605260.0,63.60526,1336.13720703125,0.9647212825275754,-0.2584933392632461,0.127802428909769,28.34028277963256,2.198625506565753,-0.0167810831426391,-0.0167810831426391,45.19149518952936,36.10142388211545,11.260656262532926,"fund_low_adv20,fund_small_mcap",0,,False,False,False,False,False,False,False,False,False,1433.T,2026-09-04,True,,1289.0,15.601549,2.1310928,82.62,604.854,11421713408.0,,,,True,,,False,,,,True,unknown_stale_rejected,
1,False,32.73071395863492,False,False,True,True,0.4144862152168695,1600.0,1600.0,88566045.0,88.566045,2489.6611328125,0.6426577412133695,-0.3684621224572088,-0.1033843636966265,50.25793749971572,3.1411210937322327,-0.073965611986561,-0.1788084050844309,12.507687624186431,18.47983026169538,27.405433614041936,"fund_low_adv20,fund_small_mcap",2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1434.T,2026-09-04,True,,1600.0,7.194245,1.3260642,222.4,1206.578,11133632512.0,,,,True,,,False,,,,True,unknown_stale_rejected,
2,False,42.22222222222222,False,False,True,False,0.3933139870980869,179.0,179.0,90297835.0,90.297835,225.59007263183597,0.7934746326010934,-0.3259911834678896,-0.0089940914616847,5.28466284720672,2.952325612964648,-0.0478723404255319,-0.0478723404255319,22.49107372893104,19.468258205326773,15.546056213243231,"fund_low_adv20,fund_small_mcap",1,trend_break,True,False,False,False,False,False,False,False,False,1435.T,2026-09-04,True,,179.0,7.7522736,1.4303409,23.09,125.145,15905402880.0,,,,True,,,False,,,,True,unknown_stale_rejected,
5,True,64.3510054844607,True,True,False,True,0.4102343649305803,1820.0,1820.0,66683130.0,66.68313,2000.0,0.91,-0.4034999999999999,0.4938099195183461,81.79312943761711,4.494127991077863,0.0,0.0,29.28082135059704,31.758651260900265,8.94273096086056,"fund_low_adv20,fund_small_mcap",0,ext_dev200,False,False,False,False,False,True,False,False,False,1436.T,2026-09-04,True,,1820.0,43.855423,3.959905,41.5,459.607,22509205504.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,True,50.30181086519115,False,False,True,False,0.5326631591852699,2283.0,2283.0,4527370.0,4.52737,2355.0,0.9694267515923568,-0.1483698149964673,0.2078179137767437,57.711814113492935,2.5278937412830897,-0.0305732484076433,-0.0305732484076433,23.42330045126249,24.32960679072329,25.150637790922243,"fund_low_adv20,fund_small_mcap",3,macd_sell_like;ext_dev200;di_bear;natr_spike,False,False,True,False,False,True,True,False,True,1438.T,2026-09-04,True,,2283.0,14.727132,1.6469948,155.02,1386.161,7420236288.0,,,,True,,,False,,,,True,unknown_stale_rejected,
4,False,51.85185185185185,False,False,True,True,0.6044399073555369,280.0,280.0,20262810.0,20.26281,361.6278381347656,0.7742766747278292,-0.3833439340560503,0.0272806100228113,7.229701676075517,2.5820363128841133,-0.0209790209790209,-0.0209790209790209,33.66879434428428,23.74374068608192,11.427600639830588,"fund_low_adv20,fund_small_mcap",2,trend_break;macd_sell_like,True,False,True,False,False,False,False,False,False,1443.T,2026-09-04,True,,280.0,7.4074078,0.34898272,37.8,802.332,4545502208.0,,,,True,,,False,,,,True,unknown_stale_rejected,
3,False,52.17391304347826,True,False,True,True,0.330686178536755,2665.0,2665.0,4946430.0,4.94643,2998.0,0.8889259506337558,-0.1511007338225484,-0.0399959654614684,36.56640925877115,1.372097908396666,-0.0111317254174396,-0.0966101694915254,20.48915831788517,22.99602619326641,26.56021860639113,"fund_neg_eps,fund_low_adv20,fund_small_mcap",2,trend_break;di_bear,True,False,False,False,False,False,True,False,False,1444.T,2026-09-04,True,,2665.0,-66.22763419483101,1.7613559,-40.24,1513.039,2899192320.0,,,,True,,,False,,,,True,unknown_stale_rejected,
3,False,27.77777777777777,False,False,True,False,0.5813384469146915,537.0,537.0,3389110.0,3.38911,596.0,0.901006711409396,-0.1291946308724831,-0.0210555099808585,4.924404276784625,0.91702128059304,-0.0218579234972677,-0.0218579234972677,31.234076728621893,11.867953196678831,16.718225071462665,"fund_low_adv20,fund_small_mcap",3,trend_break;macd_sell_like;di_bear,True,False,True,False,False,False,True,False,False,1446.T,2026-09-04,True,,537.0,19.491833,1.5888984,27.55,337.97,5000866304.0,,,,True,,,False,,,,True,unknown_stale_rejected,
